ITEM NO.,DESCRIPTION,QUANTITY
SF-XT0032,XTREME FPC SALT 48px50g,0.0
SF-XT0031,XTREME STICK CHICKEN 50px12g,0.0
SF-CPM00953,Pouch - 250g Chocodate Exclusive Real Coconut,0.0
SF-CPM00952,Pouch - 250g Chocodate Exclusive Real Assorted,0.0
SF-SP1827,Danfoss FC 280 Midi 0.37kw 230V 1ph to 230v 3 ph ,1.0
SF-SP1826,HP PC PRO + MONITOR ,0.0
SF-SP1825,Minipack Gomma Neoprene 17x10Lg 2300,0.0
SF-SP1824,Minipack Adhesive Teflon glass,0.0
SF-SP1829,Base:Pinion ,2.0
SF-SP1828,Shaft:Shift Down ,2.0
SF-SP1841,(604519) Solen. valve 121G2320 115V50Hz120V60Hz,1.0
SF-XT0049,XTREME FPC KETCHUP - 4x22x12g,0.0
SF-SP0510,Magnetic Brake,1.0
SF-SP1840,(604531) Solen. Valve 321H2322 115V50HZ120V60Hz,2.0
SF-XT0048,XTREME FPC VEGETABLE - 4x22x12g,0.0
SF-XT0047,XTREME FPC SALT&VIN - 4x22x12g,0.0
SF-XT0046,XTREME FPC SALTED - 4x22x12g,0.0
SF-SP0513,Knife Blade,0.0
SF-SP1845,(716536) Plug Cable for SV 1000mm with ferrule,1.0
SF-SP0514,Air Cylinder,3.0
SF-SP1844,Ignition Cable 2x1  810mm,0.0
SF-SP0511,Probe,0.0
SF-SP1843,Ignition electrode right Kanthal A-1,0.0
SF-SP0512,Cails,1.0
SF-SP1842,Ignition electrode left Kanthal  A-1,0.0
SF-XT0041,XTREME STICK HOT & SPICY 2 x 25p x 12g,10.0
SF-XT0040,XTREME STICK CHICKEN 2 x 25p x 12g,10.0
SF-XT0045,XTREME FPC FRENCH CHEESE - 4x22x12g,0.0
SF-XT0044,XTREME FPC CHILLI - 4x22x12g,0.0
SF-XT0043,XTREME FPC BBQ - 4x22x12g,0.0
SF-XT0042,XTREME STICK SALT 2 x 25p x 12g,10.0
LPM02290,Box - 180g(16pc) Galaxy Fusion Gifting,9390.0
LPM02291,Carton - 10x180g(16pc) Galaxy Fusion Gifting,301.0
SF-SP0506,Photo sensor,3.0
SF-SP1838,Probe (thermocouple woodman),1.0
SF-SP0507,Heater,7.0
SF-SP1837,K608_C-00068_2 Knife,5.0
SF-SP0504,Bellows,14.0
SF-SP1836,PVC Belt(L17200MM *W520 * T 3),0.0
SF-SP0505,Heater,0.0
SF-SP1835,PVC Belt(L12240MM*W520MM T.3),0.0
SF-SP0508,Reversible Motor,0.0
SF-SP0509,Lamps,2.0
SF-SP1839,Actuator SQM45.291 B9 WH 3Nm,1.0
SF-XT0059,XTREME FPC FRENCH CHEESE - 12x125g,0.0
SF-XT0058,XTREME FPC CHIPS HOT - 12x100g,0.0
SF-XT0057,XTREME FPC BBQ - 12x125g,0.0
SF-SP1812,Spring Washer ,0.0
SF-SP1811,Spring Washer ,9.0
SF-SP1810,Eccentric Bolt ,0.0
SF-XT0052,XTREME FPC FRENCH CHEESE - 5x14x23g,0.0
SF-XT0051,XTREME FPC CHILLI - 5x14x23g,0.0
SF-XT0050,XTREME FPC BBQ - 5x14x23g,0.0
SF-XT0056,XTREME FPC KETCHUP - 5x14x23g,0.0
SF-XT0055,XTREME FPC VEGETABLE - 5x14x23g,0.0
SF-XT0054,XTREME FPC SALT&VIN - 5x14x23g,0.0
SF-XT0053,XTREME FPC SALTED - 5x14x23g,0.0
SF-SP1805,Ring (Upper side),12.0
SF-SP1804,Toggle Lever ,7.0
SF-SP1803,Collar ,24.0
SF-SP1802,Toggle  Lever ,5.0
SF-SP1809,Domed cap u nut ,2.0
SF-SP1808,Spring lock washer ,3.0
SF-SP1807,Ring ,1.0
SF-SP1806,Bellow For Center V ,1.0
SF-SP1823,Minipack Blade Holder Central Clamp Kit ONM/CS,0.0
SF-SP1822,Minipack Kit of 10 Selaing Blade 3 x0.5 LG ,0.0
SF-SP1821,Switch AS :: M3 sensor ,2.0
SF-SP1820,Breaker Hnadle ::,1.0
SF-XT0063,XTREME FPC KETCHUP-12X100G,0.0
SF-XT0062,XTREME FPC  VEGETABLE - 12x100g,0.0
SF-XT0061,XTREME FPC SALT&VIN - 12x125g,0.0
SF-XT0060,XTREME FPC SALTED - 12x125g,0.0
SF-XT0067,XTREME STICK ASSORTED 5*12*20g,0.0
SF-XT0066,XTREME FPC CHICKEN - 12x100g,0.0
SF-XT0065,XTREME FPC CHICKEN - 5x14x23g,0.0
SF-XT0064,XTREME FPC CHICKEN - 4x22x12g,0.0
BANNER,BUGLES BANNER,0.0
SF-CPM00948,Pouch - 100g Chocodate Exclusive Real Assorted,2100.0
SF-CPM00947,Pouch - 100g Chocodate Exclusive Real White,27100.0
SF-CPM00946,Pouch - 100g Chocodate Exclusive Real Dark,3270.0
SF-CPM00945,Pouch - 100g Chocodate Exclusive Real Milk,520.0
SF-SP1816,Toggle Arm ,1.0
SF-SP1815,ASSEMBLY ROTARY JAWSET 12X12X340R2C & R3-320 ,0.0
SF-SH0001,SHARK PUFAK CHEESE  20P X 5 BAG X 18GM,0.0
SF-SP1814,Bolt With Washer ,8.0
SF-CPM00949,Pouch - 100g Chocodate Exclusive Real Coconut,0.0
SF-SP1813,Hexagon u nut ,8.0
SF-SP1819,Breaker AS,0.0
SF-SP1818,Flame Sensor QRI 2B2.B180B,2.0
SF-SP1817,Drive IC (PH24AB),0.0
SF-SP0542,Ext Spring Sd,0.0
SF-SP1874,VFD 7.5Kw380V 3Phase,1.0
SF-SP0543,Catch assy,0.0
SF-SP1873,ZKteco MB1000 Face & Card Recongnition Function ,2.0
SF-SP0540,Flat Needle Roller Cage,1.0
SF-SP1872,Coupling D10/11 T20/21/22,4.0
SF-SP0541,Bush mod 0609-10,0.0
SF-XT0079,XTREME STICK KETCHUP 2 x 25 x 20g,0.0
SF-SP0546,Magnet f11864,0.0
SF-SP1878,8 Pin base and relay -220 V,8.0
SF-SP0547,Peel roller shaft,0.0
SF-SP1877,KitShaft seal H QQEGG KB012S1,2.0
SF-SP0544,Sensor Lid (Bottom Side),0.0
SF-SP1876,"Timing Belt 1/2"" Pitch X 838 LG X 25 W Rev A ",4.0
SF-SP0545,Roller Belt Separator REV B,0.0
SF-SP1875,Air Pressure regulator,1.0
SF-XT0074,XTREME FPC HOT 12 x 120gm,0.0
SF-XT0073,XTREME STICK CHICKEN 8 x 6 x 40GM,0.0
SF-XT0072,XTREME STICK SALT  8 x 6 x 40GM,0.0
SF-XT0071,XTREME STICK KETCHUP 8 x 6 x 40GM,0.0
SF-SP1870,DC-Motor Lenze 90V.0.7Kw KCL,1.0
SF-XT0078,XTREME STICK HOT & SPICY 2 x 25 x 20g,0.0
SF-XT0077,XTREME FPC VEGETABLE 12 x 120gm,0.0
SF-XT0076,XTREME FPC CHICKEN 12 x 120gm,0.0
SF-XT0075,XTREME FPC KETCHUP 12 x 120gm,0.0
SF-XT0070,XTREME STICK HOT & SPICY 8 x 6 x 40GM,0.0
SF-SP0539,Print Module 60Micron,0.0
SF-SP0537,Heat board,1.0
SF-SP1869,Screw Drive Shaft T20/21/22,0.0
SF-SP0538,Cutter ,2.0
SF-SP1868,Retaining Ring A16x1 KCL,12.0
SF-SP0553,Spring-c 0480-035-0620S,0.0
SF-SP1885,Motor Belt,0.0
SF-SP0554,Rewind reel body brg,0.0
SF-SP1884,Conveyor Belt,3.0
SF-SP0551,Ink Core Assembly 1630W/O With Pump Assembly,0.0
SF-SP1883,PU Conveyor Belt ,0.0
SF-SP0552,Motovario Gear Box NMRV050,0.0
SF-SP1882,Timer :H3Y-2 ,0.0
SF-SP0557,Carriage idler pulley,0.0
SF-SP1889,1.5'' Automatic Blowdown Valve,0.0
SF-SP0558,Bush amf 0408-16,0.0
SF-SP1888,Screw For Upper Jaw,0.0
SF-SP0555,Ext.spring e0180,0.0
SF-SP1887,Timing Belt ,0.0
SF-SP0556,Bush sd2c,0.0
SF-SP1886,Inverter SINAMICS V20,2.0
SF-XT0085,XTREME FPC CHILLI - 5x14x21g,0.0
SF-XT0084,XTREME FPC BBQ - 5x14x21g,0.0
SF-XT0083,XTREME FPC KETCHUP 2 x 25 x 23g,0.0
SF-XT0082,XTREME FPC HOT 2 x 25 x 23g,0.0
SF-SP1881,Frequnecy and voltage controller ,0.0
SF-XT0089,XTREME FPC VEGETABLE - 5x14x21g,0.0
SF-SP0550,Cassette arriage,0.0
SF-SP1880,Bonfiglioli Gear Box ,1.0
SF-XT0088,XTREME FPC SALT&VIN - 5x14x21g,0.0
SF-XT0087,XTREME FPC SALTED - 5x14x21G,0.0
SF-XT0086,XTREME FPC FRENCH CHEESE - 5x14x21g,0.0
SF-XT0081,XTREME STICK CHICKEN 2 x 25 x 20g,0.0
SF-XT0080,XTREME STICK SALT 2 x 25 x 20g,0.0
SF-SP0548,Peel roller cap,0.0
SF-SP0549,Peel roller body,0.0
SF-SP1879,Bonfiglioli Gear Box,0.0
SF-SP0520,Cylinder,2.0
SF-SP1852,Gear Motor With inverter,0.0
SF-SP0521,Assy clipper,1.0
SF-SP1851,E.M Contactor ,0.0
SF-SP1850,PWB Card Spacer ,30.0
SF-SP0524,CRTC-2 PC Board,0.0
SF-SP1856,Print Head Module ,3.0
SF-SP0525,Motor for Compack Side 1&2,0.0
SF-SP1855,Foot Sensor Single ,9.0
SF-SP0522,Crtc-2 crt controller,1.0
SF-SP1854,SW200 Automatic Swing Door Opener ,4.0
SF-SP0523,Interface Cable,0.0
SF-SP1853,PVC Belt (L2600mm*W600mmT2),1.0
SF-XT0096,XTREME RIPPLED HOT 40g x 36pkts,2.0277
SF-XT0095,XTREME RIPPLED FRENCH CHEESE 40g x 36pkts,0.0278
SF-XT0094,XTREME STICK HOT & SPICY 8 x 6 x 35GM,30.0
SF-XT0093,XTREME STICK FLAMMING HOT 50p x 12g,0.0
SF-XT0099,XTREME STICK SALT  8 x 6 x 35GM,32.0
SF-XT0098,XTREME RIPPLED SALT 40g x 36pkts,0.0
SF-XT0097,XTREME RIPPLED KETCHUP 40g x 36pkts,0.0
SF-CPM00977,Pouch - 250g Chocodate Exclusive Extra Dark 85%,0.0
SF-XT0092,XTREME STICK FRENCH CHEESE 8 x 6 x 40GM,0.0
SF-XT0091,XTREME FPC CHICKEN- 5X14X21g,0.0
SF-XT0090,XTREME FPC KETCHUP - 5x14x21g,0.0
SF-CPM00978,Pouch - 100g Chocodate Exclusive Extra Dark 85%,2023.0
SF-SP0517,Bearing linear l8mm,7.0
SF-SP1849,BACOENG 1.5'' 110 V Brass gas solenoid valve ,2.0
SF-SP0518,Assy tower control board,1.0
SF-SP1848,BACOENG 3/8'' 110 V Brass gas solenoid valve ,0.0
SF-SP0515,Poppet valve 3/2 n.c sol/spring 3/8 w coil 24V dc,1.0
SF-SP1847,Frame:Inner Side,2.0
SF-SP0516,Cylinder VAC Drive 20mm,1.0
SF-SP1846,(21060415052) Regulating rod air M6 x 590-630mm,0.0
SF-SP0519,Air cylinder pbda 16x30a,0.0
SF-SP0531,Input Board,1.0
SF-SP1863,Stainless steel Mesh belt,0.0
SF-SP0532,Output Board,0.0
SF-SP1862,Permanenterregter DC motor mit getriebe ,0.0
SF-SP1861,SIMOTICS SD MOTOR TYPE:1CV3204A ,0.0
SF-SP0530,IF board,1.0
SF-SP1860,Movement Roller Assy,5.0
SF-SP0535,Magnetic value 110-4e1-dc24v,0.0
SF-SP1867,Screw Shaft Seal,0.0
SF-SP0536,Assy 400 pcb assy cpu board,0.0
SF-SP1866,Danfoss FC280 Graphical Local Control Panel(Keypad,2.0
SF-SP0533,Input-3,0.0
SF-SP1865,Stainless steel sprocket,4.0
SF-SP0534,Mag clutch & bearing,0.0
SF-SP1864,Stainless steel Eyelink belt,0.0
SF-SP0528,Cpu Board,0.0
SF-SP0529,Crtc Board,1.0
SF-SP1859,Print Action  Solenoid Assy,1.0
SF-SP0526,CPU-2 Central Proc Unit,0.0
SF-SP1858,Pneumatic Prime Solenoid Valve,1.0
SF-SP0527,Draw Down belt (Pull Down),0.0
SF-SP1857,M4 Threaded Peel Roller Assy ,4.0
SF-SP0102,Rapid BLACK PLUS 180ML 17260-01-HA,0.0
SF-SP1434,STRIPPER/TUBECLOSER ASSY SET MK7-1320(9X912X12),0.0
SF-SP0103,Print Sensor 200cm,3.0
SF-SP1433,DATECODER ROLLER ASSEMBLY320R3REV B,0.0
SF-SP0100,Solvent Spray,4.0
SF-SP1432,DANCING ARM DRIVE ASSY MK2(BELT DRIVE)REV G,0.0
SF-SP0101,Prodigit transformer32/220v-500MA,2.0
SF-SP1431,GAUGE VACUUMG1/8''-100KPA REV B,0.0
SF-SP0106,EGGJET/P2128 power supply wire PU30-23LS,2.0
SF-SP1438,Timing hopper for Serial no-0839 PLC  Wegiher ,0.0
SF-SP0107,EGGJET/P2128 LCD,0.0
SF-SP1437,Brown Aluminum Oxide F80 Mesh Packing 25Kg bag,0.0
SF-HC0058,HERO(N) FPC KETCHUP 5x20x12g,0.0
SF-SP0104,Vacuum System for Prodigit,2.0
SF-SP1436,PULLEY TIMING 25T REV H,0.0
SF-HC0059,HERO(N) FPC KETCHUP 5x20x13g,0.0
SF-SP0105,Printer Module P2128 with Cable 1.1Mtr,2.0
SF-SP1435,Screw Grub(SET) M5X16 Steel High Tensile,21.0
SF-HC0056,HERO(N) FPC HOT 50x18g,0.0
SF-HC0057,HERO(N) FPC HOT 4x25x18g,0.0
SF-HC0054,HERO(N) FPC HOT 5x20x14g,0.0
SF-HC0055,HERO(N) FPC HOT 50x15g,0.0
SF-HC0052,HERO(N) FPC HOT 5x20x13g,0.0
SF-HC0053,HERO(N) FPC HOT 4x25x14g,0.0
SF-HC0050,HERO(N) FPC F.CHEESE 50X40g,0.0
SF-HC0051,HERO(N) FPC HOT 5x20x12g,0.0
SF-SP1429,STRIPPER/TUBCLOSER ASSY SET MK7-3 320(FOR 21X12RE,0.0
SF-SP1428,CAM PROFILE TO SUIT MK7-3 REV_B,0.0
SF-SP0113,Wash Down,0.0
SF-SP1445,Gear:Rack Dancing roller ,0.0
SF-SP0114,IC 74ACT244,1.0
SF-SP1444,Spring coil compressive ,24.0
SF-SP0111,VJ V-705D make-up  solvent,40.0
SF-SP1443,Block B: Pusher ,14.0
SF-SP0112,Vj Ink Black 750ml,2.0
SF-SP1442,Collar,12.0
SF-SP0117,Delta invertor 400V 3 Ph2.2kw VFD-B,1.0
SF-SP1449,Conveyor Belt Pvc White,2.0
SF-SP0118,Omron Timer 220V H3YN-2,0.0
SF-SP1448,Housing:Pusher: ,2.0
SF-HC0069,HERO(N) FPC SALT 50x14g,0.0
SF-SP0115,Mitsubishi Invertor 400V 3ph 0.75 kw,1.0
SF-SP1447,Cover Rear: RCU,0.0
SF-SP0116,Mitsubishi Invertor 400V 3ph 2.2 kw,0.0
SF-HC0067,HERO(N) FPC SALT 5x20x12g,0.0
SF-HC0068,HERO(N) FPC SALT 5x20x13g,0.0
SF-HC0065,HERO(N) FPC KETCHUP 4x25x18g,0.0
SF-HC0066,HERO FPC KETCHUP 2x25x25g,0.0
SF-HC0063,HERO(N) FPC KETCHUP 50x15g,0.0
SF-SP1441,Rail:Former: ,0.0
SF-HC0064,HERO(N) FPC KETCHUP 50x18g,0.0
SF-SP0110,Ink Tube No.3,0.0
SF-SP1440,Guide:Former: ,0.0
SF-HC0061,HERO(N) FPC KETCHUP 4x25x14g,0.0
SF-HC0062,HERO(N) FPC KETCHUP 5x20x14g,0.0
SF-HC0060,HERO(N) FPC KETCHUP 50x14g,0.0
SF-SP0108,P2128 Arabic keyboard,1.0
SF-SP0109,Vacuum hose,5.0
SF-SP1439,Key Bearing for No.0839 PLC Weigher (Simens-PLC),0.0
SF-SP1412,Rubber Leg Roller ,0.0
SF-SP1411,Big Extruder Slant Cutter Base,0.0
SF-SP1410,Extruder Big Slant cutter Blade,0.0
SF-HC0038,HERO-FPC-S/V-4bx25x15g,0.0
SF-SP1416,Varible Resister,2.0
SF-HC0039,HERO(N) FPC F.CHEESE 5x20x12g,0.0
SF-SP1415,Air Curtain,0.0
MB-M0110,MALBAN BALOURIH POMEGRANATE SUPER,0.0
SF-HC0036,HERO FPC S/V - 50x14g,0.0
SF-SP1414,Ariston Instant Heater 220V,0.0
SF-HC0037,HERO FPC S/V - 4x25x14g,0.0
SF-SP1413,LED Light 200W ,0.0
SF-HC0034,HERO-FPC-SALTED-2X25X30g,0.0
SF-HC0035,HERO-FPC-SALTED-2x25x40g,0.0
SF-HC0032,HERO FPC SALTED 2x25x25g,0.0
SF-HC0033,HERO-FPC-SALTED-2x25x27g,0.0
SF-HC0030,HERO-FPC-SALT-50x25g,0.0
SF-HC0031,HERO-FPC-SALT 25p x 25g,0.0
SF-SP1409,Extruder Slant cutter base (Medium),0.0
SF-SP1408,Extruder Slant cutter blade (Medium),0.0
SF-SP1407,Slant cutter base,0.0
SF-SP1406,Slant Cuttter blade ,0.0
SF-SP1423,3- Segment Barrel for Big Extruder,0.0
SF-XT0104,XTREME FPC BBQ 12 x 120gm,0.0
SF-SP1422,SENSOR PHOTO ELECT EFEC#OG0035,3.0
SF-XT0103,XTREME FPC CRINKLE BBQ 28px50g,0.0
SF-SP1421,BEACKET CYLINDER END GATE 16''STROKE,1.0
SF-XT0102,XTREME STICK KETCHUP 8 x 6 x 35GM,0.0
SF-SP1420,TRACK UHMW MID-GATE,8.0
SF-XT0101,XTREME STICK FLAMIN HOT 2 x 25p x 12g,0.0
SF-HC0049,HERO-FPC-FR CHEESE 50p x 25g,0.0
SF-SP1427,FILTER INTERNAL INLET REV A,1.0
SF-XT0108,XTREME FPC CRINKLE BBQ 12Px120g,0.0
SF-SP1426,ROBAG3 LID COMPLETE FILTER HOUSING ASSEMBLY REV,1.0
SF-XT0107,XTREME STICK FRENCH CHEESE 8 x 6 x 35GM,0.0
SF-HC0047,HERO(N) FPC F.CHEESE  2x25x23g,0.0
SF-SP1425,Die Head and Cone for Big Extruder,0.0
SF-XT0106,XTREME FPC SALT 12 x 120gm,0.0
SF-HC0048,HERO(N) FPC F.CHEESE 50x20g Abu Gaith,0.0
SF-SP1424,High Compression Screw,0.0
SF-XT0105,XTREME FPC FRENCH CHEESE 120GM*12PCS,0.0
SF-HC0045,HERO(N) FPC F.CHEESE 50x18g,0.0
SF-HC0046,HERO(N) FPC F.CHEESE 4x25x18g,0.0
SF-HC0043,HERO(N) FPC F.CHEESE 5x20x14g,0.0
SF-HC0044,HERO(N) FPC FRENCH CHEESE 50x15g,0.0
SF-HC0041,HERO(N) FPC F.CHEESE 2x25x14g,0.0
SF-XT0100,XTREME STICK CHICKEN 8 x 6 x 35GM,0.0
SF-HC0042,HERO(N) FPC F.CHEESE 4x25x14g,0.0
MB-M0106,Malban Korosh Small Super  5 KGM,0.0
SF-HC0040,HERO(N) FPC FR. CHEESE 5x20x13g,0.0
SF-SP1419,BRG LINEAR1/2PACB#FLCNOBE,0.0
SF-SP1418,Valve Solenoid24VDCMAC#45A-NADDDAA 1BK,3.0
SF-SP1417,U-Joint1.1 25IDX1.25IDWSLR#252-21365,1.0
SF-SP0146,PX70 PARA T- L FLG Asy,2.0
SF-SP1478,K608_KD00259-03M_0 Belt,1.0
SF-XT0115,XTREME FPC FRENCH CHEESE - 8x12x12g,0.0
SF-SP0147,Gas Nozzle Head (Used),2.0
SF-SP1477,Motor Controller  220V,0.0
SF-XT0114,XTREME FPC CHILLI - 8x12x12g,0.0
SF-HC0018,HERO FPC-KETCHUP-50x17g,0.0
SF-SP0144,Motor Protector MQ-1,1.0
SF-SP1476,Load Cell Weigher  S3 ,2.0
SF-XT0113,XTREME FPC BBQ - 8x12x12g,0.0
SF-HC0019,HERO-FPC-KETCHUP-50x25g,0.0
SF-SP0145,Micro Switch,1.0
SF-SP1475,Motor Position Card S3,4.0
SF-XT0112,XTREME FPC CRINKLE THAI SWEET CHILLI 12Px120g,277.2
SF-HC0016,HERO-FPC-KETCHUP-50x15g,0.0
SF-XT0119,XTREME FPC CHICKEN - 8x12x12g,0.0
SF-HC0017,HERO-FPC-KET-4bx25px15g,0.0
SF-XT0118,XTREME FPC VEGETABLE - 8x12x12g,0.0
LR-E0401,Chocodate Exclusive Real White 90g Pouch V2,0.0
SF-HC0014,HERO-FPC-KETCHUP-2x25x14g,0.0
SF-SP0148,Hobart Beater,1.0
SF-XT0117,XTREME FPC KETCHUP - 8x12x12g,0.0
LR-E0400,Chocodate Exclusive Real Extra Dark 90g Pouch V2,0.0
SF-HC0015,HERO-FPC-KETCHUP-4x25x14g,0.0
SF-SP0149,Reset Rod,1.0
SF-SP1479,K608_HP-00015_0 Seal ,0.0
SF-XT0116,XTREME FPC SALT - 8x12x12g,0.0
SF-HC0012,HERO-FPC-HOT-2X25X30g,0.0
SF-SP1470,Synchronous Belt HDT 688-8M S3,0.0
SF-HC0013,HERO-FPC-KETCHUP-50x14g,0.0
SF-HC0010,HERO FPC HOT 2x25x25g,0.0
SF-HC0011,HERO-FPC- HOT -2x25x27g,0.0
SF-SP0142,Frame Weldment Lid 320 REV G,0.0
SF-SP1474,Step Motor S3 weigher ,4.0
SF-XT0111,XTREME FPC CRINKLE SALT 12Px120g,0.0
SF-SP0143,Temperature Switch,2.0
SF-SP1473,Seaming Head  S2,1.0
SF-XT0110,XTREME FPC CRINKLE FRENCH CHEESE 12Px120g,0.0
SF-SP0140,EFT Bearing Housing with Bearing,2.0
SF-SP1472,Proximity Switch Autonics S3 ,2.0
SF-SP0141,Compact Drive 25 Watts,0.0
SF-SP1471,Relay Schneider S3,0.0
SF-XT0109,XTREME FPC CRINKLE FLAMIN HOT 12Px120g,228.4167
SF-SP0157,Fryer Nozzle(Used),2.0
SF-SP1489,Band Heater Dia250 x 325 x 220V-2800W/2piece,1.0
SF-XT0126,XTREME FPC CHILLI - 5bagx14px23g,0.0
SF-SP0158,Carbon Bush,8.0
SF-SP1488,Band Heater Dia250 x 315 x  220V-2800W/2piece,1.0
SF-XT0125,XTREME FPC BBQ - 5bagx14px23g,0.0
SF-HC0029,HERO-FPC-SALT-50x17g,0.0
SF-SP0155,Speed controller ,1.0
SF-SP1487,Band Heater Dia250 x 315 x 220V-2800W/2piece,1.0
SF-XT0124,XTREME STICK CHICKEN 8x12x12g,0.0
SF-SP0156,Ignition Tranfomer,1.0
SF-SP1486,Gas Hose,0.0
SF-XT0123,XTREME STICK KETCHUP 8x12x12g,0.0
SF-HC0027,HERO-FPC-SALT-50x15g,0.0
SF-HC0028,HERO-FPC-SALT-4bx25px15g,0.0
SF-XT0129,XTREME FPC KETCHUP - 5bagx14px23g,0.0
SF-HC0025,HERO-FPC-SALTED-2x25x14g,0.0
SF-SP0159,Relay,1.0
SF-XT0128,XTREME FPC SALT - 5bagx14px23g,0.0
SF-HC0026,HERO-FPC-SALTED-4x25x14g,0.0
SF-XT0127,XTREME FPC FRENCH CHEESE - 5bagx14px23g,0.0
SF-HC0023,HERO FPC KETCHUP-2x25x40g,0.0
SF-SP1481,Thermostat ATHs-20 huls+Knel,0.0
SF-HC0024,HERO-FPC-SALT-50x14g,0.0
SF-SP0150,Thermometric,1.0
SF-SP1480,PT100x1/3w Clamp Coupling 1/2'' BSP'',0.0
SF-HC0021,HERO-FPC-KETCHUP-2x25x27g,0.0
SF-HC0022,HERO-FPC-KETCHUP-2X25X30g,0.0
LR-E0418,Dara Caramel White Chocolate Dates 100g Pouch,0.0
SF-SP0153,Speed control for DC Motor ,1.0
SF-SP1485,Band Heater Dia250  x 315 x 220V-2000W/2piece,1.0
SF-XT0122,XTREME STICK SALT 8x12x12g,0.0
SF-HC0020,HERO-FPC-KETCHUP 25p x 25g,0.0
SF-SP0154,1.5'' Electrical O.P Valve,1.0
SF-SP1484,Band Heater Dia 665 x 128 x 220V-1500W/2piece,0.0
SF-XT0121,XTREME STICK FLAMIN HOT 8x12x12g,0.0
SF-SP0151,Transfomer for Oven,1.0
SF-SP1483,Power Supply As:Switching ,3.0
SF-XT0120,XTREME STICK HOT & SPICY 8x12x12g,0.0
LR-E0419,Dara Peanut Milk Chocolate Dates 100g Pouch,0.0
SF-SP0152,Gas Pressure Controler,1.0
SF-SP0124,Valve,2.0
SF-SP1456,Auxiliary switch CA5-01 Closed H,0.0
SF-XT0137,XTREME FPC F.CHEESE 28x40g,0.0
SF-SP0125,SMC Solenoid Valve,0.0
SF-SP1455,Auxiliary switch Base CA5-22M,0.0
SF-XT0136,XTREME FPC SALTED 28X40g,0.0
SF-SP0122,SMC Reed switch /Sensor 24VDCD-A93,4.0
SF-SP1454,Contactor 230V 50/60Hz A16-30-10-80+,0.0
SF-SP0123,SMC Reed switch /Sensor 24VDC-D-Z73,5.0
SF-SP1453,Contactor 230V 50/60Hz A26-30-10-80,0.0
SF-SP0128,Autonics Proximity sensor220V CR18-8A0-100,0.0
SF-SP0129,Conch Solid State relay24VDCS75DA,2.0
SF-SP1459,ECO Drain Kit Valve 13,1.0
SF-SP0126,Autonics temperature controller220V TC4S-14R,0.0
SF-SP1458,Sigma Fluid S 460 208L,0.0
SF-SP0127,Anly Floatless relay 220VAFR-1,1.0
SF-SP1457,Overload relay Therm TA25DU 18-25A,0.0
SF-SP0120,Omron relay 220V MY2N,0.0
SF-SP1452,Support Wheel Coating Drum/Dryer,0.0
SF-SP0121,Omron relay 220V MY4N,7.0
SF-SP1451,Oil Seal::,4.0
SF-SP1450,Bearing :Niddle: ,7.0
SF-SP0119,Omron Timer 220V H5CN-XCN,1.0
SF-HC0009,HERO-FPC-HOT 25p x 25g,0.0
SF-SP0135,Packing rope,0.0
SF-SP1467,Seaming Head S3,0.0
SF-SP0136,Silicon Foam rubber Gasket ,20.0
SF-SP1466,Holder:Center Gear:,2.0
SF-HC0007,HERO FPC-HOT-50x17g,0.0
SF-SP0133,Steam Solenoid Valve APK21-32A-C4A,1.0
SF-SP1465,Black B:clamp: ,4.0
SF-HC0008,HERO-FPC-HOT-50x25g,0.0
SF-SP0134,Dial Gauge,2.0
SF-SP1464,Plate :B:Hold:,2.0
SF-HC0005,HERO-FPC-HOT-50x15g,0.0
SF-SP0139,ES Bearing Housing with Bearing,0.0
SF-HC0006,HERO-FPC-HOT-4bx25px15g,0.0
SF-HC0003,HERO-FPC HOT 2x25x14g,0.0
SF-SP0137,Light Bulb for 11 Layer,10.0
SF-SP1469,Synchronous Belt HDT 6986-8M S3,0.0
SF-HC0004,HERO-FPC - HOT -4x25x14g,0.0
SF-SP0138,Doubling motor,0.0
SF-SP1468,Roller Chrome Steel S3,0.0
SF-HC0001,HERO FPC FR CHEESE 2x25x25g,0.0
SF-HC0002,HERO-FPC-HOT-50x14g,0.0
SF-SP0131,Plastic Roller For ES-250,0.0
SF-SP1463,Housing:Bearing :F ,1.0
SF-SP0132,Steam Solenoid Valve PVS-15A-210,0.0
SF-SP1462,Housing:Bearing:R,1.0
SF-SP1461,Shaft:Driven ,2.0
SF-SP0130,Design Roller For ES-250,0.0
SF-SP1460,Bearing :Niddle:,0.0
SF-SP0188,Triangular Cutter 3x3x2.5,1.0
SF-SP0189,Cutter round 2.60x1.75x1.75 UHMW1 Row,0.0
SF-XL0001,XL FPC BBQ - 4x24x12g,0.0
SF-SP0182,Gear 39T 6DP STEEL 1Per,2.0
SF-SP0183,Music Wire 0.14(5GA),4.0
SF-SP0180,Lock nut,2.0
SF-SP0181,"Belt Balance Weave17""(Oven)feet",10.0
SF-SP0186,VFD2.2KW 220V1PH 3PH EL-Series,0.0
SF-SP0187,Hobart Beater SS,0.0
SF-SP0184,Duplex Chain,1.0
SF-SP0185,"Burners 1""x20"" Drilled",3.0
SF-XL0004,XL FPC BBQ - 5x20x14g,0.0
SF-XL0005,XL FPC BBQ - 2x25x14g,0.0
SF-XL0002,XL FPC BBQ - 50x14g,0.0
